Name,Organization,Location,Gender,Race
Ansgar Kellner,(TU Braunschweig),,male,W_NL
Micha Horlboge,(TU Braunschweig),,female,B_NL
Konrad Rieck,(TU Braunschweig),,male,W_NL
Christian Wressnegger,(TU Braunschweig),,male,W_NL
Jie Huang,(CISPA Helmholtz Center for Information Security),,male,A
Nataniel Borges,(CISPA Helmholtz Center for Information Security),,male,HL
Sven Bugiel,(CISPA Helmholtz Center for Information Security),,male,W_NL
Michael Backes,(CISPA Helmholtz Center for Information Security),,male,W_NL
Ali Abbasi,(Ruhr University Bochum),,male,A
Jos Wetzels,(Midnight Blue Labs),,male,W_NL
Thorsten Holz,(Ruhr University Bochum),,male,W_NL
Sandro Etalle,(Eindhoven University of Technology),,male,HL
Ke Xu,(Singapore Management University),,male,A
Yingjiu Li,(Singapore Management University),,female,A
Robert H. Deng,(Singapore Management University),,male,A
Kai Chen,(Chinese Academy of Sciences),,male,A
Jiayun Xu,(Singapore Management University),,male,A
Mathias Vorreiter Pedersen,(Aarhus University),,male,W_NL
Stephen Chong,(Harvard University),,male,A
Marco Guarnieri,(IMDEA Software Institute),,male,HL
Musard Balliu,(KTH Royal Institute of Technology),,male,A
Daniel Schoepe,(Chalmers University of Technology),,male,W_NL
David Basin,(ETH Zurich),,male,W_NL
Andrei Sabelfeld,(Chalmers University of Technology),,male,W_NL
Jannik Pewny,"(HGI, Ruhr-University Bochum)",,male,B_NL
Philipp Koppe,"(HGI, Ruhr-University Bochum)",,male,W_NL
Thorsten Holz,"(HGI, Ruhr-University Bochum)",,male,W_NL
Jorden Whitefield,"(Surrey Centre for Cyber Security, University of Surrey, UK)",,male,W_NL
Liqun Chen,"(Surrey Centre for Cyber Security, University of Surrey, UK)",,female,A
Ralf Sasse,"(Department of Computer Science, ETH Zurich)",,male,W_NL
Steve Schneider,"(Surrey Centre for Cyber Security, University of Surrey, UK)",,male,W_NL
Helen Treharne,"(Surrey Centre for Cyber Security, University of Surrey, UK)",,female,W_NL
Steve Wesemeyer,"(Surrey Centre for Cyber Security, University of Surrey, UK)",,male,W_NL
Guoxing Chen,(The Ohio State University),,male,A
Sanchuan Chen,(The Ohio State University),,male,A
Yuan Xiao,(The Ohio State University),,male,A
Yinqian Zhang,(The Ohio State University),,male,A
Zhiqiang Lin,(The Ohio State University),,male,A
Ten H. Lai,(The Ohio State University),,male,A
Claudio Soriente,(NEC Labs Europe),,male,HL
Ghassan Karame,(NEC Labs Europe),,male,A
Wenting Li,(NEC Labs Europe),,male,A
Sergey Fedorov,(NEC Labs Europe),,male,W_NL
Mustakimur Khandaker,(Florida State University),,male,A
Abu Naser,(Florida State University),,male,A
Wenqing Liu,(Florida State University),,female,A
Zhi Wang,(Florida State University),,male,A
Yajin Zhou,(Zhejiang University),,female,A
Yueqiang Cheng,(Baidu X-lab),,male,A
Alex Biryukov,(University of Luxembourg),,male,A
Sergei Tikhomirov,(University of Luxembourg),,male,A
Raymond Cheng,"(UC Berkeley, Oasis Labs)",,male,A
Fan Zhang,(Cornell Tech),,male,A
Jernej Kos,(Oasis Labs),,male,W_NL
Warren He,"(UC Berkeley, Oasis Labs)",,male,B_NL
Nicholas Hynes,"(UC Berkeley, Oasis Labs)",,male,W_NL
Noah Johnson,"(UC Berkeley, Oasis Labs)",,male,B_NL
Ari Juels,(Cornell Tech),,male,B_NL
Andrew Miller,(UIUC),,male,W_NL
Dawn Song,"(UC Berkeley, Oasis Labs)",,female,A
Alice Hutchings,(University of Cambridge),,female,B_NL
Sergio Pastrana,(Carlos III University of Madrid),,male,HL
Melanie Rieback,,,female,W_NL
Zhen Liu,(Shanghai Jiao Tong University),,male,A
Guomin Yang,(University of Wollongong),,male,A
Duncan S. Wong,(CryptoBLK),,male,A
Khoa Nguyen,(Nanyang Technological University),,male,A
Huaxiong Wang,(Nanyang Technological University),,male,A
Benjamin Lipp,(INRIA Paris),,male,W_NL
Bruno Blanchet,(INRIA Paris),,male,HL
Karthikeyan Bhargavan,(INRIA Paris),,male,A
Evgenios M. Kornaropoulos,(Brown University),,male,W_NL
Petros Efstathopoulos,(Symantec Research Labs),,male,HL
Florian Kohnhäuser,(TU Darmstadt),,male,W_NL
Niklas Büscher,(TU Darmstadt),,male,W_NL
Stefan Katzenbeisser,(TU Darmstadt),,male,W_NL
Olivier Blazy,"(University of Limoges, XLIM, CNRS UMR 7252)",,male,B_NL
Angèle Bossuat,"(Univ Rennes, CNRS, IRISA)",,female,B_NL
Xavier Bultel,"(Univ Rennes, CNRS, IRISA)",,male,HL
Pierre-Alain Fouque,"(Univ Rennes, CNRS, IRISA)",,male,B_NL
Cristina Onete,"(University of Limoges, XLIM, CNRS UMR 7252)",,female,HL
Elena Pagnin,(Aarhus University),,female,HL
Erik van der Kouwe,(Leiden University),,male,W_NL
Dennis Andriesse,(Vrije Universiteit Amsterdam),,male,W_NL
Herbert Bos,(Vrije Universiteit Amsterdam),,male,W_NL
Cristiano Giuffrida,(Vrije Universiteit Amsterdam),,male,HL
Gernot Heiser,"(Data61, UNSW)",,male,W_NL
Orcun Cetin,(Delft University of Technology),,male,B_NL
Carlos Gañán,(Delft University of Technology),,male,HL
Lisette Altena,(Delft University of Technology),,female,HL
