Name,Organization,Location,Gender,Race
Daniel Schoepe,(Chalmers University of Technology),,male,W_NL
Musard Balliu,(Chalmers University of Technology),,male,A
Benjamin C. Pierce,(University of Pennsylvania),,male,W_NL
Andrei Sabelfeld,(Chalmers University of Technology),,male,W_NL
Celina G Val,(Amazon),,female,HL
Michael A Enescu,(The University of British Columbia),,male,W_NL
Sam Bayless,(The University of British Columbia),,male,W_NL
William Aiello,(The University of British Columbia),,male,W_NL
Alan J Hu,(The University of British Columbia),,male,A
Stefano Calzavara,(Università Ca' Foscari Venezia),,male,HL
Ilya Grishchenko,"(CISPA, Saarland University)",,male,W_NL
Matteo Maffei,"(CISPA, Saarland University)",,male,HL
Bridger Hahn,(Stony Brook University),,male,W_NL
Rishab Nithyanand,(Stony Brook University),,male,A
Phillipa Gill,(Stony Brook University),,female,B_NL
Rob Johnson,(Stony Brook University),,male,B_NL
Hugo Krawczyk,(IBM Research),,male,HL
Hoeteck Wee,(ENS),,male,W_NL
Sjouke Mauw,"(University of Luxembourg, SnT)",,male,A
Jorge Toro Pozo,"(University of Luxembourg, SnT)",,male,HL
Rolando Trujillo-Rasua,"(University of Luxembourg, SnT)",,male,HL
Benjamin Mood,(University of Florida),,male,W_NL
Debayan Gupta,(Yale University),,male,A
Henry Carter,(Georgia Institute of Technology),,male,B_NL
Kevin Butler,(University of Florida),,male,B_NL
Patrick Traynor,(University of Florida),,male,W_NL
Pei Wang,(The Pennsylvania State University),,male,A
Shuai Wang,(The Pennsylvania State University),,female,A
Jiang Ming,(The Pennsylvania State University),,male,A
Yufei Jiang,(The Pennsylvania State University),,female,A
Dinghao Wu,(The Pennsylvania State University),,male,A
Dominique Devriese,"(iMinds - DistriNet, KU Leuven)",,female,B_NL
Lars Birkedal,"(Dept. of Comp. Science, Aarhus University)",,male,W_NL
Frank Piessens,"(iMinds - DistriNet, KU Leuven)",,male,W_NL
Marco Guarnieri,(ETH Zurich),,male,HL
Srdjan Marinovic,(The Wireless Registry),,male,W_NL
David Basin,(ETH Zurich),,male,W_NL
Xinyang Ge,(The Pennsylvania State University),,male,A
Nirupama Talele,(The Pennsylvania State University),,female,A
Mathias Payer,(Purdue University),,male,W_NL
Trent Jaeger,(The Pennsylvania State University),,male,W_NL
Galini Tsoukaneri,(The University of Edinburgh),,female,A
George Theodorakopoulos,(Cardiff University),,male,W_NL
Hugh Leather,(The University of Edinburgh),,male,W_NL
Mahesh K. Marina,(The University of Edinburgh),,male,A
Robert Annessi,(TU Wien),,male,W_NL
Martin Schmiedecker,(SBA Research),,male,W_NL
Ralf Kuesters,(University of Trier),,male,W_NL
Tomasz Truderung,(Polyas),,male,A
Manuel Barbosa,"(HASLab - INESC TEC, DCC FC Universidade do Porto)",,male,HL
Bernardo Portela,"(HASLab - INESC TEC, Minho University)",,male,HL
Bogdan Warinschi,(University of Bristol),,male,W_NL
Guillaume Scerri,(University of Bristol),,male,HL
Ashokkumar C,"(Indian Institute of Technology Bombay, India)",,male,A
Ravi Prakash Giri,"(Indian Institute of Technology Bombay, India)",,male,A
Bernard Menezes,"(Indian Institute of Technology Bombay, India)",,male,A
Stanislaw Jarecki,"(University of California, Irvine)",,male,W_NL
Aggelos Kiayias,(University of Athens),,male,HL
Hugo Krawczyk,(IBM Research),,male,HL
Jiayu Xu,"(University of California, Irvine)",,female,A
Alex Biryukov,(University of Luxembourg),,male,A
Daniel Dinu,(University of Luxembourg),,male,W_NL
Dmitry Khovratovich,(University of Luxembourg),,male,A
Kartik Nayak,"(University Of Maryland, College Park)",,male,A
Srijan Kumar,"(University Of Maryland, College Park)",,male,A
Andrew Miller,"(University Of Maryland, College Park)",,male,W_NL
Elaine Shi,"(University Of Maryland, College Park/Cornell University, Ithaca)",,female,A
Christian Mainka,(Horst Görtz Institute for IT-Security),,male,W_NL
Vladislav Mladenov,(Horst Görtz Institute for IT-Security),,male,W_NL
Jörg Schwenk,(Horst Görtz Institute for IT-Security),,male,W_NL
Ning Zhang,"(Virginia Polytechnic Institute, State University)",,male,A
He Sun,"(College of William, Mary)",,male,A
Kun Sun,"(College of William, Mary)",,male,A
Wenjing Lou,"(Virginia Polytechnic Institute, State University)",,female,A
Y. Thomas Hou,"(Virginia Polytechnic Institute, State University)",,male,A
Andreas Gutmann,(Technische Universität Darmstadt),,male,W_NL
Karen Renaud,(The University of Glasgow),,female,W_NL
Joseph Maguire,(The University of Glasgow),,male,W_NL
Melanie Volkamer,(Technische Universität Darmstadt),,female,W_NL
Peter Mayer,(Technische Universität Darmstadt),,male,W_NL
Kanta Matsuura,(University of Tokyo),,female,A
Jörn Müller-Quade,(Karlsruhe Institute of Technology),,male,W_NL
Nicolas Papernot,(The Pennsylvania State University),,male,HL
Patrick McDaniel,(The Pennsylvania State University),,male,W_NL
Somesh Jha,(University of Wisconsin-Madison),,male,A
Matt Fredrikson,(Carnegie Mellon University),,male,W_NL
Z. Berkay Celik,(The Pennsylvania State University),,male,A
Ananthram Swami,(Army Research Laboratory),,male,A
Suphannee Sivakorn,(Columbia University),,female,A
Iasonas Polakis,(Columbia University),,male,W_NL
Angelos D. Keromytis,(Columbia University),,male,HL
Pawel Szalachowski,(ETH Zurich),,male,W_NL
Laurent Chuat,(ETH Zurich),,male,A
Adrian Perrig,(ETH Zurich),,male,HL
Sylvain Frey,(Lancaster University),,male,W_NL
Yehia Elkhatib,(Lancaster University),,male,A
Awais Rashid,(Lancaster University),,male,A
Karolina Follis,(Lancaster University),,female,W_NL
John Vidler,(Lancaster University),,male,W_NL
Nick Race,(Lancaster University),,male,W_NL
Chris Edwards,(Lancaster University),,male,B_NL
Vincent F. Taylor,(University of Oxford),,male,B_NL
Riccardo Spolaor,(University of Padua),,male,HL
Mauro Conti,(University of Padua),,male,HL
Ivan Martinovic,(University of Oxford),,male,HL
Tilman Frosch,(Ruhr-Universität Bochum),,male,W_NL
Christian Mainka,(Ruhr-Universität Bochum),,male,W_NL
Christoph Bader,(Ruhr-Universität Bochum),,male,W_NL
Florian Bergsma,(Ruhr-Universität Bochum),,male,W_NL
Jörg Schwenk,(Ruhr-Universität Bochum),,male,W_NL
Thorsten Holz,(Ruhr-Universität Bochum),,male,W_NL
Steve Kremer,(Inria),,male,W_NL
Peter Roenne,(Inria),,male,W_NL
Yannis Juglaret,(Inria) (annis Juglaret (Inria)),,male,HL
Barnaby Craggs,"(Awais Rashid (Security Lancaster Research Centre, Lancaster University))",,male,W_NL
Byron Hawkins,"(Brian Demsky, Michael B. Taylor (University of California, Irvine))",,male,B_NL
Yumin Sim,(Hae Young Lee (Seoul Women's University)),,male,A
