Name,Organization,Location,Gender,Race
Marco Guarnieri,(IMDEA Software Institute),,male,HL
Boris Köpf,(Microsoft Research),,male,W_NL
José Morales,(IMDEA Software Institute),,male,HL
Jan Reineke,(Saarland University),,male,W_NL
Andrés Sánchez,(IMDEA Software Institute),,male,HL
Michael Kurth,"(Vrije Universiteit Amsterdam, The Netherlands; ETH Zurich, Switzerland)",,male,W_NL
Ben Gras,"(Vrije Universiteit Amsterdam, The Netherlands)",,male,W_NL
Dennis Andriesse,"(Vrije Universiteit Amsterdam, The Netherlands)",,male,W_NL
Cristiano Giuffrida,"(Vrije Universiteit Amsterdam, The Netherlands)",,male,HL
Herbert Bos,"(Vrije Universiteit Amsterdam, The Netherlands)",,male,W_NL
Kaveh Razavi,"(Vrije Universiteit Amsterdam, The Netherlands)",,male,A
Esmaeil Mohammadian Koruyeh,"(University of California, Riverside)",,male,A
Shirin Hajl Amin Shirazi,"(University of California, Riverside)",,male,A
Khaled Khasawneh,(George Mason University),,male,A
Chengyu Song,"(University of California, Riverside)",,female,A
Nael Abu-Ghazaleh,"(University of California, Riverside)",,male,A
Jo Van Bulck,"(imec-DistriNet, KU Leuven)",,male,A
Daniel Moghimi,(Worchester Polytechnic Institute),,male,W_NL
Michael Schwarz,(Graz University of Technology),,male,W_NL
Moritz Lipp,(Graz University of Technology),,male,W_NL
Marina Minkin,(University of Michigan),,female,W_NL
Daniel Genkin,(University of Michigan),,male,W_NL
Yuval Yarom,"(University of Adalaide, Data61)",,male,A
Berk Sunar,(Worchester Polytechnic Institute),,male,A
Daniel Gruss,(Graz University of Technology),,male,W_NL
Frank Piessens,"(imec-DistriNet, KU Leuven)",,male,W_NL
Philipp Schindler,(SBA Research),,male,W_NL
Aljosha Judmayer,(SBA Research),,male,B_NL
Nicholas Stifter,(SBA Research / TU Wien),,male,W_NL
Edgar Weippl,(SBA Research / TU Wien),,male,HL
Haifeng Yu,(National University of Singapore),,male,A
Ivica Nikolic,(National University of Singapore),,male,W_NL
Ruomu Hou,(National University of Singapore),,female,A
Prateek Saxena,(National University of Singapore),,male,A
Ittai Abraham,(Vmware Research),,male,A
Dahlia Malkhi,(Calibra),,female,A
Kartik Nayak,(Duke University),,male,A
Ling Ren,(University of Illinois at Urbana-Champaign),,female,A
Maofan Yin,(Cornell University),,male,A
Jonathan Lee,(Microsoft Research),,male,A
Kirill Nikitin,(EPFL),,male,W_NL
Srinath Setty,(Microsoft Research),,male,A
Arian Akhavan Niaki,"(University of Massachusetts, Amherst)",,male,A
Shinyoung Cho,"(University of Massachusetts, Amherst / Stony Brook University)",,female,A
Zachary Weinberg,(Carnegie Mellon University),,male,W_NL
Nguyen Phong Hoang,(Stony Brook University),,male,A
Abbas Razaghpanah,(Stony Brook University),,male,A
Nicholas Christin,(Carnegie Mellon University),,male,W_NL
Phillipa Gill,(Stony Brook University),,female,B_NL
Tao Wang,"(Hong Kong University of Science, Technology)",,male,A
Christiane Kuhn,(KIT Karlsruhe),,female,W_NL
Martin Beck,(TU Dresden),,male,W_NL
Thorsten Strufe,(Karlsruhe Institute of Technology (KIT) & Centre of Tactile Internet (TU Dresden)),,male,W_NL
Chau Tran,(New York University),,female,A
Kaylea Champion,(University of Washington),,female,B_NL
Andrea Forte,(Drexel University),,female,B_NL
Benjamin Mako Hill,(University of Washington),,male,B_NL
Rachel Greenstadt,(New York University),,female,W_NL
Youqian Zhang,(University of Oxford),,male,A
Kasper Rasmussen,(University of Oxford),,male,W_NL
Zhengxiong Li,"(University of Buffalo, SUNY)",,male,A
Fenglong Ma,"(University of Buffalo, SUNY)",,male,A
Aditya Singh Rathore,"(University of Buffalo, SUNY)",,male,A
Zhuolin Yang,"(University of Buffalo, SUNY)",,male,A
Baicheng Chen,"(University of Buffalo, SUNY)",,male,A
Lu Su,"(University of Buffalo, SUNY)",,female,A
Wenyao Xu,"(University of Buffalo, SUNY)",,male,A
Chen Yan,(Zhejiang University),,male,A
Hocheol Shin,(KAIST),,male,A
Connor Bolton,(University of Michigan),,male,W_NL
Wenyuan Xu,(Zhejiang University),,male,A
Yongdae Kim,(KAIST),,female,A
Kevin Fu,(University of Michigan),,male,A
Eunyong Cheon,"(UNIST, Republic of Korea)",,male,A
Yonghwan Shin,"(UNIST, Republic of Korea)",,male,A
Jun Ho Huh,"(Samsung Research, Republic of Korea)",,male,A
Hyoungshick Kim,"(Sungkyunkwan University, Republic of Korea)",,male,A
Ian Oakley,"(UNIST, Republic of Korea)",,male,W_NL
Sanam Ghorbani Lyastani,"(CISPA Helmholtz Center for Information Security, Germany)",,male,A
Michael Schilling,"(CISPA Helmholtz Center for Information Security, Germany)",,male,W_NL
Michaela Neumayr,"(CISPA Helmholtz Center for Information Security, Germany)",,female,W_NL
Michael Backes,"(CISPA Helmholtz Center for Information Security, Germany)",,male,W_NL
Sven Bugiel,"(CISPA Helmholtz Center for Information Security, Germany)",,male,W_NL
Philipp Markert,(Ruhr University Bochum),,male,W_NL
Daniel Bailey,(Ruhr University Bochum),,male,W_NL
Maximilian Golla,"(Max Planck Institute for Security, Privacy)",,male,A
Markus Dürmuth,(Ruhr University Bochum),,male,W_NL
Adam Aviv,(The George Washington University),,male,W_NL
Nan Wu,(Macquarie University),,female,A
Farhad Farokhi,(CSIRO's Data61 / The University of Melbourne),,male,A
David Smith,(CSIRO's Data61 / Austrailian National University),,male,W_NL
Mohamed Ali Kaafar,(CSIRO's Data61 / Macquarie University),,male,A
Rakibul Hasan,(Indiana University),,male,A
David Crandall,(Indiana University),,male,W_NL
Mario Fritz,"(CISPA Helmholtz Center for Information Security, Germany)",,male,HL
Apu Kapadia,(Indiana University),,male,A
Nishant Kumar,"(Microsoft Research, India)",,male,A
Mayank Rathee,"(Microsoft Research, India)",,male,A
Nishanth Chandran,"(Microsoft Research, India)",,male,A
Divya Gupta,"(Microsoft Research, India)",,female,A
Aseem Rastogi,"(Microsoft Research, India)",,male,A
Rahul Sharma,"(Microsoft Research, India)",,male,A
Michael Carl Tschantz,(International Computer Science Institute),,male,W_NL
Shayak Sen,(Carnegie Melon University),,male,A
Anupam Datta,(Carnegie Melon University),,male,A
Sebastian Angel,(University of Pennsylvania),,male,HL
Sampath Kannan,(University of Pennsylvania),,male,A
Zachary Ratliff,(Raytheon BBN Technologies),,male,W_NL
Aiping Xiong,(Penn State University),,male,A
Tianhao Wang,(Purdue University),,male,A
Ninghui Li,(Purdue University),,male,A
Somesh Jha,(University of Wisconsin-Madison),,male,A
Elisabet Lobo-Vesga,(Chalmers University of Technology),,female,HL
Alejandro Russo,(Chalmers University of Technology),,male,HL
Marco Gaboardi,(Boston University),,male,HL
Philipp Morgner ,,,,
Christoph Mai ,,,,
Nicole Koschate-Fischer ,,,,
Felix Freiling ,,,,
Zinaida Benenson ,,,,
Pardis Emami-Naeini,(Carnegie Mellon University),,male,A
Yuvraj Agarwal,(Carnegie Mellon University),,male,A
Lorrie Faith Cranor,(Carnegie Mellon University),,female,W_NL
Hanan Hibshi,(Carnegie Mellon University),,female,A
Yan Jia,(Xidian University / University of Chinese Academy of Sciences / Indana University at Bloomington),,male,A
Luyi Xing,(Indiana University at Bloomington),,female,A
Yuhang Mao,(Xidian University / University of Chinese Academy of Sciences),,male,A
Dongfang Zhao,(Indiana University at Bloomington),,male,A
XiaoFeng Wang,(Indiana University at Bloomington),,male,A
Shangru Zhao,(Xidian University / University of Chinese Academy of Sciences),,female,A
Yuqing Zhang,(Xidian University / University of Chinese Academy of Sciences),,female,A
Sunil Manandhar,(William &amp; Mary),,male,A
