Name,Organization,Location,Gender,Race
Brad Reaves,,,male,W_NL
Haopei Wang,(TAMU),,female,A
Guangliang Yang,(TAMU),,male,A
Phakpoom Chinprutthiwong,(TAMU),,male,A
Lei Xu,(TAMU),,female,A
Yangyong Zhang,(TAMU),,male,A
Guofei Gu,(TAMU),,male,A
Hongda Li,(Clemson University),,female,A
Hongxin Hu,(Clemson University),,male,A
Guofei Gu,"(Texas A&, M University)",,male,A
Gail-Joon Ahn,(Arizona State University & Samsung Research),,male,A
Fuqiang Zhang,(Clemson University),,male,A
Apu Kapadia,,,male,A
Payman Mohassel,(Visa),,male,A
Peter Rindal,(Oregon State University),,male,W_NL
Véronique Cortier,"(CNRS, Inria, Loria, Université de Lorraine, France)",,female,B_NL
Joseph Lallemand,"(CNRS, Inria, Loria, Université de Lorraine, France)",,male,W_NL
Yan Chen,,,male,A
Petar Tsankov,(ETH Zurich),,male,A
Andrei Marian Dan,(ETH Zurich),,male,A
Dana Drachsler Cohen,(ETH Zurich),,female,W_NL
Arthur Gervais,(Imperial College London),,male,W_NL
Florian Buenzli,(ETH Zurich),,male,A
Martin Vechev,(ETH Zurich),,male,W_NL
Massimo Bartoletti,(University of Cagliari),,male,W_NL
Roberto Zunino,(University of Trento),,male,HL
Nikita Borisov,,,male,A
Mohammed Abuhmed,(Inha University),,male,A
Tamer Abuhmed,(Inha University),,male,A
Aziz Mohaisen,(University of Central Florida),,male,A
DaeHun Nyang,(Inha University),,female,A
Nestor Hernandez,(Florida International University),,male,HL
Mizanur Rahman,(Florida International University),,male,A
Ruben Recabarren,(Florida International University),,male,HL
Bogdan Carbunar,(Florida International University),,male,W_NL
Fengwei Zhang,,,male,A
Youngjoo Shin,(Kwangwoon University),,female,A
Hyung Chan Kim,(The Affiliated Institute of ETRI),,male,A
Dokeun Kwon,(The Affiliated Institute of ETRI),,male,A
Ji Hoon Jeong,(The Affiliated Institute of ETRI),,male,A
Junbeom Hur,(Korea University),,male,A
Mohammad A. Islam,(UC Riverside),,male,A
Shaolei Ren,(UC Riverside),,male,A
Giovanni Camurati,"(EURECOM, France)",,male,HL
Sebastian Poeplau,"(EURECOM, France)",,male,HL
Marius Muench,"(EURECOM, France)",,male,W_NL
Tom Hayes,"(EURECOM, France)",,male,B_NL
Aurélien Francillon,"(EURECOM, France)",,male,B_NL
Jo Van Bulck,(imec-DistriNet KU Leuven),,male,A
Frank Piessens,(imec-DistriNet KU Leuven),,male,W_NL
Raoul Strackx,(imec-DistriNet KU Leuven),,male,B_NL
Nikita Borisov,,,male,A
Mehmet Emre Gursoy,(Georgia Institute of Technology),,male,A
Ling Liu,(Georgia Institute of Technology),,female,A
Stacey Truex,(Georgia Institute of Technology),,female,W_NL
Lei Yu,(Georgia Institute of Technology),,female,A
Wenqi Wei,(Georgia Institute of Technology),,female,A
Zhikun Zhang,(Zhejiang University),,male,A
Tianhao Wang,(Purdue University),,male,A
Ninghui Li,(Purdue University),,male,A
Shibo He,(Zhejiang University),,male,A
Jiming Chen,(Zhejiang University),,male,A
Thee Chanyaswad,(Princeton University),,female,A
Alex Dytso,(Princeton University),,male,HL
H. Vincent Poor,(Princeton University),,male,A
Prateek Mittal,(Princeton University),,male,A
Sebastian Meiser,(University College London),,male,W_NL
Esfandiar Mohammadi,"(ETH Zurich, Switzerland)",,male,A
Cas Cremers,,,male,W_NL
Shaanan Cohney,(University of Pennsylvania),,male,A
Matthew D. Green,(Johns Hopkins University),,male,W_NL
Nadia Heninger,(University of Pennsylvania),,female,W_NL
Martin R. Albrecht,"(Royal Holloway, University of London)",,male,W_NL
Jake Massimo,"(Royal Holloway, University of London)",,male,W_NL
Kenneth G. Paterson,"(Royal Holloway, University of London)",,male,W_NL
Juraj Somorovsky,(Ruhr-Universität Bochum),,male,A
Mathy Vanhoef,"(imec-DistriNet, KU Leuven)",,female,W_NL
Frank Piessens,"(imec-DistriNet, KU Leuven)",,male,W_NL
Battista Biggio,,,male,W_NL
Guixin Ye,(Northwest University),,male,A
Zhanyong Tang,(Northwest University),,male,A
Dingyi Fang,(Northwest University),,female,A
Zhanxing Zhu,(Peking University),,male,A
Yansong Feng,(Peking University),,male,A
Pengfei Xu,(Northwest University),,male,A
Xiaojiang Chen,(Northwest University),,male,A
Zheng Wang,(Lancaster University),,male,A
Yujie Ji,(Lehigh University),,female,A
Xinyang Zhang,(Lehigh University),,male,A
Shouling Ji,(Zhejiang University),,female,A
Xiapu Luo,(The Hong Kong Polytechnic University),,female,A
Ting Wang,(Lehigh University),,female,A
Wenbo Guo,(The Pennsylvania State University),,male,A
Dongliang Mu,(The Pennsylvania State University),,male,A
Jun Xu,(The Pennsylvania State University),,male,A
Purui Su,(Chinese Academy of Sciences),,female,A
Gang Wang,(Virginia Tech),,male,A
Xinyu Xing,(The Pennsylvania State University),,female,A
Kihong Heo,(University of Pennsylvania),,female,A
Woosuk Lee,"(University of Pennsylvania, Hanyang University)",,male,A
Pardis Pashakhanloo,(University of Pennsylvania),,male,A
Mayur Naik,(University of Pennsylvania),,male,A
Stefan Nürnberger,,,male,W_NL
Binlin Cheng,"(Wuhan University &, Hubei Normal University)",,female,A
Jiang Ming,(University of Texas at Arlington),,male,A
Jianming Fu,(Wuhan University),,male,A
Guojun Peng,(Wuhan University),,male,A
Ting Chen,(University of Electronic Science and Technology of China),,female,A
Xiaosong Zhang,(University of Electronic Science and Technology of China),,male,A
Jean-Yves Marion,(LORIA),,male,B_NL
Juanru Li,(Shanghai Jiao Tong University),,female,A
Zhiqiang Lin,(Ohio State University),,male,A
