Name,Organization,Location,Gender,Race
Jonathan Katz,(George Mason University),,male,W_NL
Giovanni Vigna,(University of California Santa Barbara),,male,HL
Benny Pinkas,(Bar Ilan University),,male,W_NL
Vassilis Zikas,(University of Edinburgh),,male,W_NL
Deepak Garg,(Max Planck Institute for Software Systems),,male,A
Herbert Bos,(Vrije Universiteit Amsterdam),,male,W_NL
Prateek Saxena,(National University of Singapore),,male,A
Cristina Nita-Rotaru,(Northeastern University),,female,A
Ashwin Machanavajjhala,(Duke University),,male,A
Engin Kirda,(Northeastern University),,male,A
Serge Egelman,(University of California),Berkeley,male,B_NL
AbdelRahman Abdou,(Carleton University),,male,A
Manos Antonakakis,(Georgia Institute of Technology),,male,W_NL
Aslan Askarov,(Aarhus University),,male,A
Michael Backes,(CISPA Helmholtz Center for Information Security),,male,W_NL
Foteini Baldimtsi,(George Mason University),,female,A
Davide Balzarotti,(Eurecom),,male,W_NL
Tiffany Bao,(Arizona State University),,female,A
Gilles Barthe,(MPI-SP and IMDEA),,male,B_NL
Adam Bates,(University of Illinois at Urbana-Champaign),,male,W_NL
Karthikeyan Bhargavan,(INRIA),,male,A
Antonio Bianchi,(Purdue University),,male,HL
Leyla Bilge,(NortonLifeLock Research Group),,female,HL
Bruno Blanchet,(Inria),,male,HL
Jonathan Bootle,(IBM Research - Zurich),,male,W_NL
Kevin Borgolte,(Princeton University),,male,W_NL
Kevin Butler,(University of Florida),,male,B_NL
Juan Caballero,(IMDEA Software Institute),,male,HL
Matthew Caesar,(University of Illinois at Urbana-Champaign),,male,B_NL
Yinzhi Cao,(Johns Hopkins University),,female,A
Lorenzo Cavallaro,(King's College London),,male,HL
Hao Chen,(Microsoft Research),,male,A
Yaohui Chen,(Facebook),,female,A
Nicolas Christin,(Carnegie Mellon University),,male,B_NL
Mihai Christodorescu,(Visa Research),,male,A
Gabriela Ciocarlie,(SRI International),,female,HL
Andrea Continella,(UC Santa Barbara/University of Twente),,female,HL
Véronique Cortier,(CNRS),Loria  France,female,B_NL
