Name,Organization,Location,Gender,Race
Reza Shokri,(Cornell Tech),,male,A
Marco Stronati,(INRIA),,male,HL
Congzheng Song,(Cornell),,female,A
Vitaly Shmatikov,(Cornell Tech),,male,W_NL
Payman Mohassel,(Visa Research),,male,A
Yupeng Zhang,(University of Maryland),,male,A
Nicholas Carlini,"(University of California, Berkeley)",,male,W_NL
David Wagner,"(University of California, Berkeley)",,male,W_NL
Adam Smith,(Pennsylvania State University),,male,W_NL
Abhradeep Thakurta,(University of California Santa Cruz),,male,A
Jalaj Upadhyay,(Pennsylvania State University),,male,A
Mathias Lecuyer,(Columbia University),,male,W_NL
Riley Spahn,(Columbia University),,male,W_NL
Roxana Geambasu,(Columbia University),,female,HL
Tzu-Kuo Huang,(Uber Advanced Technologies Group),,female,A
Siddhartha Sen,(Microsoft Research),,male,A
Cormac Herley,"(Microsoft Research, USA)",,male,W_NL
Paul C. van Oorschot,"(Carleton University, Canada)",,male,W_NL
Felix Fischer,"(AISEC, Fraunhofer)",,male,HL
Konstantin Böttinger,"(AISEC, Fraunhofer)",,male,W_NL
Huang Xiao,"(AISEC, Fraunhofer)",,male,A
Christian Stransky,"(CISPA, Saarland University)",,male,W_NL
Yasemin Acar,"(CISPA, Saarland University)",,male,A
Michael Backes,"(CISPA, Saarland University &amp; MPI-SWS)",,male,W_NL
Sascha Fahl,"(CISPA, Saarland University)",,female,W_NL
Ruba Abu-Salma UK),,,,
M. Angela Sasse UK),,,,
Joseph Bonneau USA),,,,
Anastasia Danilova,"(University of Bonn, Germany)",,female,HL
Alena Naiakshina,"(University of Bonn, Germany)",,female,HL
Matthew Smith,"(University of Bonn, Germany)",,male,W_NL
Yasemin Acar,"(CISPA, Saarland University)",,male,A
Michael Backes,"(CISPA, Saarland University &amp; MPI-SWS)",,male,W_NL
Sascha Fahl,"(CISPA, Saarland University)",,female,W_NL
Simson Garfinkel,"(National Institute of Standards, Technology)",,male,W_NL
Doowon Kim,(University of Maryland),,female,A
