Name,Organization,Location,Gender,Race
Le Guan,(Chinese Academy of Sciences),,male,A
Jingqiang Lin,(Chinese Academy of Sciences),,male,A
Bo Luo,(University of Kansas),,male,A
Jiwu Jing,(Chinese Academy of Sciences),,female,A
Jing Wang,(Chinese Academy of Sciences),,female,A
Robert N. M. Watson,(University of Cambridge),,male,W_NL
Jonathan Woodruff,(University of Cambridge),,male,W_NL
Peter G. Neumann,(SRI International),,male,W_NL
Simon W. Moore,(University of Cambridge),,male,B_NL
Jonathan Anderson,(Memorial University),,male,W_NL
David Chisnall,(University of Cambridge),,male,W_NL
Nirav Dave,(SRI International),,male,A
Brooks Davis,(SRI International),,male,B_NL
Khilan Gudka,(University of Cambridge),,male,A
Ben Laurie,(Google UK Ltd.),,male,W_NL
Steven J. Murdoch,(University College London),,male,W_NL
Robert Norton,(University of Cambridge),,male,W_NL
Michael Roe,(University of Cambridge),,male,W_NL
Stacey Son,"(Dev Random, Inc.)",,female,A
Munraj Vadera,(University of Cambridge),,male,A
Felix Schuster,(Ruhr-Universität Bochum),,male,HL
Manuel Costa,(Microsoft Research),,male,HL
Cedric Fournet,(Microsoft Research),,male,B_NL
Christos Gkantsidis,(Microsoft Research),,male,W_NL
Marcus Peinado,(Microsoft Research),,male,HL
Gloria Mainar-Ruiz,(Microsoft Research),,female,HL
Mark Russinovich,(Microsoft),,male,W_NL
Ulrich Rührmair,(TU München),,male,B_NL
J.L. Martinez-Hurtado,(TU München),,male,HL
Xiaolin Xu,(UMass Amherst),,male,A
Christian Kraeh,(TU München),,male,W_NL
Christian Hilgers,(ZAE Bayern),,male,W_NL
Dima Kononchuk,(TU Delft),,female,A
Jonathan J. Finley,(TU München),,male,W_NL
Wayne P. Burleson,(UMass Amherst),,male,W_NL
Fengwei Zhang,(George Mason University),,male,A
Kevin Leach,(University of Virginia),,male,W_NL
Angelos Stavrou,(George Mason University),,male,W_NL
Haining Wang,(University of Delaware),,male,A
Kun Sun,"(College of William, Mary)",,male,A
Mohammad Taha Khan,(University of Illinois at Chicago),,male,A
Xiang Huo,(University of Illinois at Chicago),,male,A
Zhou Li,(RSA Laboratories),,male,A
Chris Kanich,(University of Illinois at Chicago),,male,W_NL
Joseph Bonneau,(Princeton University),,male,W_NL
Andrew Miller,(University of Maryland),,male,W_NL
Jeremy Clark,(Concordia University),,male,W_NL
Arvind Narayanan,(Princeton University),,male,A
Joshua A. Kroll,(Princeton University),,male,W_NL
Edward W. Felten,(Princeton University),,male,W_NL
Ittay Eyal,(Cornell University),,male,A
Alex Biryukov,(University of Luxembourg),,male,A
Ivan Pustogarov,(University of Luxembourg),,male,A
Kurt Thomas,(Google),,male,W_NL
Elie Bursztein,(Google),,male,W_NL
Chris Grier,"(International Computer Science Institute, Databricks)",,male,B_NL
Grant Ho,(UC Berkeley),,male,A
Nav Jagpal,(Google),,male,A
Alexandros Kapravelos,"(UC Santa Barbara, Google)",,male,HL
Damon McCoy,"(International Computer Science Institute, George Mason University)",,male,B_NL
Antonio Nappa,"(International Computer Science Institute, IMDEA)",,male,HL
Vern Paxson,"(International Computer Science Institute, UC Berkeley)",,male,B_NL
Paul Pearce,(UC Berkeley),,male,W_NL
Niels Provos,(Google),,male,W_NL
Moheeb Abu Rajab,(Google),,male,A
Liang Zhu,(USC/ISI),,male,A
Zi Hu,(USC/ISI),,female,A
John Heidemann,(USC/ISI),,male,W_NL
Duane Wessels,(Verisign),,male,W_NL
Allison Mankin,(Verisign),,male,W_NL
Nikita Somaiya,(USC/ISI),,female,A
Nik Unger,"(Cheriton School of Computer Science, University of Waterloo)",,male,W_NL
Sergej Dechand,"(Informatik IV, University of Bonn)",,male,W_NL
Joseph Bonneau,"(Center For Information Technology Policy, Princeton)",,male,W_NL
Sascha Fahl,"(Fraunhofer FKIE, Bonn)",,female,W_NL
Henning Perl,"(Fraunhofer FKIE, Bonn)",,male,A
Ian Goldberg,"(Cheriton School of Computer Science, University of Waterloo)",,male,W_NL
Matthew Smith,"(Informatik IV, University of Bonn)",,male,W_NL
Ryan Rasti,"(UC Berkeley, ICSI)",,male,W_NL
Mukul Murthy,(UC Berkeley),,male,A
Nicholas Weaver,"(UC Berkeley, ICSI)",,male,W_NL
Vern Paxson,"(UC Berkeley, ICSI)",,male,B_NL
Robert Lychev,(Lincoln Lab),,male,W_NL
Samuel Jero,(Purdue University),,male,W_NL
Alexandra Boldyreva,(Georgia Institute of Technology),,female,HL
Cristina Nita-Rotaru,(Purdue University),,female,A
Matthias Schäfer,"(University of Kaiserslautern, Germany)",,male,W_NL
Vincent Lenders,"(armasuisse, Switzerland)",,male,B_NL
Jens Schmitt,"(University of Kaiserslautern, Germany)",,male,W_NL
Henry Corrigan-Gibbs,(Stanford University),,male,B_NL
Dan Boneh,(Stanford University),,male,W_NL
David Mazières,(Stanford University),,male,W_NL
Craig Costello,(Microsoft Research),,male,W_NL
Cédric Fournet,(Microsoft Research),,male,B_NL
Jon Howell,(Microsoft Research),,male,W_NL
Markulf Kohlweiss,(Microsoft Research),,male,W_NL
Benjamin Kreuter,(Google),,male,W_NL
Michael Naehrig,(Microsoft Research),,male,W_NL
Bryan Parno,(Microsoft Research),,male,B_NL
Samee Zahur,(University of Virginia),,male,A
Michael Backes,"(CISPA, Saarland University, MPI-SWS, Germany)",,male,W_NL
Manuel Barbosa,"(HASLab -- INESC TEC, Universidade do Minho, Portugal)",,male,HL
Dario Fiore,"(IMDEA Software Institute, Madrid, Spain)",,male,HL
Raphael M. Reischuk,(ETH Zurich),,male,W_NL
