Name,Organization,Location,Gender,Race
Adam Jenkins,(University of Edinburgh),,male,W_NL
Pieris Kalligeros,(University of Edinburgh),,male,HL
Maria Wolters,(University of Edinburgh),,female,HL
Kami Vaniea,(University of Edinburgh),,female,A
Christopher Hicks,(University of Birmingham),,male,B_NL
Flavio D. Garcia,(University of Birmingham),,male,HL
Ralf Küsters,(University of Stuttgart),,male,W_NL
Daniel Rausch,(University of Stuttgart),,male,W_NL
Mike Graf,(University of Stuttgart),,male,W_NL
Jairo Giraldo,(University of Utah),,male,HL
Sahand Kafash,(University of Texas at Dallas),,male,A
Justin Ruths,(University of Texas at Dallas),,male,W_NL
Alvaro Cardenas,(University of California Santa Cruz),,male,HL
David Ke Hong,(University of Michigan),,male,A
John Kloosterman,(University of Michigan),,male,W_NL
Yuqi Jin,(University of Michigan),,female,A
Yulong Cao,(University of Michigan),,male,A
Qi Alfred Chen,"(University of California, Irvine)",,male,A
Scott Mahlke,(University of Michigan),,male,B_NL
Z. Morley Mao,(University of Michigan),,male,A
Giulio Lovisotto,(University of Oxford),,male,HL
Simon Eberz,(University of Oxford),,male,A
Ivan Martinovic,(University of Oxford),,male,HL
Te Juin Lester Tan,(NUS),,female,A
Reza Shokri,(NUS),,male,A
Ioannis Agadakos,(SRI International),,male,W_NL
Nikolaos Agadakos,(University of Illinois at Chicago),,male,W_NL
Jason Polakis,(University of Illinois at Chicago),,male,W_NL
Mohamed R. Amer,(Robust AI),,male,A
Noah Johnson,"(Oasis Labs; University of California, Berkeley)",,male,B_NL
Joseph P. Near,(University of Vermont),,male,W_NL
Joseph M. Hellerstein,"(University of California, Berkeley)",,male,W_NL
Dawn Song,"(Oasis Labs; University of California, Berkeley)",,female,A
Sourena Maroofi,"(Univ. Grenoble Alpes, CNRS, Grenoble INP, LIG)",,female,A
Maciej Korczynski,"(Univ. Grenoble Alpes, CNRS, Grenoble INP, LIG)",,male,W_NL
Cristian Hesselman,(SIDN Labs),,male,W_NL
Benoit Ampeau,(AFNIC),,male,A
Andrzej Duda,"(Univ. Grenoble Alpes, CNRS, Grenoble INP, LIG)",,male,W_NL
Yixin Sun,(Princeton University),,female,A
Kangkook Jee,(University of Texas at Dallas),,male,A
Suphannee Sivakorn,(Rajamangala University of Technology Tawan-ok),,female,A
Zhichun Li,(Aella Data),,female,A
Cristian Lumezanu,(NEC Laboratories America),,male,HL
Lauri Korts-Pärn,(Cyber Defense Institute),,female,W_NL
Zhenyu Wu,(Google),,male,A
Junghwan Rhee,(NEC Laboratories America),,male,A
Chung Hwan Kim,(NEC Laboratories America),,male,A
Mung Chiang,(Purdue University),,male,A
Prateek Mittal,(Princeton University),,male,A
