Name,Organization,Location
Emma Dauterman,"(Stanford University, Google)",
Henry Corrigan-Gibbs,(Stanford University),
David Mazières,(Stanford University),
Dan Boneh,(Stanford University),
Dominic Rizzo,(Google),
Bijeeta Pal,(Cornell University),
Tal Daniel,(Technion),
Rahul Chatterjee,(Cornell University),
Thomas Ristenpart,(Cornell Tech),
Eyal Ronen,(Tel Aviv University),
Robert Gillham,(University of Adelaide),
Daniel Genkin,(University of Michigan),
Adi Shamir,(Weizmann Institute),
David Wong,(NCC Group),
Yuval Yarom,(University of Adelaide / Data61),
Daniel Fett,(YES.com AG),
Pedram Hosseyni,(University of Stuttgart),
Ralf Kuesters,(University of Stuttgart),
Dr. Shannon Beck,(National Science Foundation),
Marina Minkin,(University of Michigan),
Jay Prakash  University of Illinois at Urbana-Champaign,(UIUC)),
Milad Nasr,(University of Massachusetts Amherst),
Yizheng Chen,(Columbia University),
Ahmet Aksoy,"(University of Nevada, Reno)",
Danny Yuxing Huang,(Princeton University),
Yujin Kwon ,,
Elaine Shi,"(Thunder Research, Cornell University)",
Jaap-Henk Hoepman,(Radboud University),
Duc Cuong Nguyen,"(CISPA, Saarland University)",
Erik Derr,"(CISPA, Saarland University)",
Michael Backes,(CISPA Helmholtz Center i.G.),
Sven Bugiel,(CISPA Helmholtz Center i.G.),
Yi Chen,"(Indiana University Bloomington, University of Chinese Academy of Sciences)",
Mingming Zha,"(Institute of Information Engineering, Chinese Academy of Sciences)",
Nan Zhang,(Indiana University Bloomington),
Dandan Xu,"(Institute of Information Engineering, Chinese Academy of Sciences)",
Qianqian Zhao,"(Institute of Information Engineering, Chinese Academy of Sciences)",
Xuan Feng,"(Institute of Information Engineering, Chinese Academy of Sciences)",
Kan Yuan,(Indiana University Bloomington),
Fnu Suya,(The University of Virginia),
Yuan Tian,(The University of Virginia),
Kai Chen,"(Institute of Information Engineering, Chinese Academy of Sciences)",
XiaoFeng Wang,(Indiana University Bloomington),
Wei Zou,"(Institute of Information Engineering, Chinese Academy of Sciences)",
Sashank Narain,(Northeastern University),
Aanjhan Ranganathan,(Northeastern University),
Guevara Noubir,(Northeastern University),
Zhenyu Ning,(Wayne State University),
Fengwei Zhang,(Wayne State University),
Seita Maruyama,(Waseda University),
Satohiro Wakabayashi,(Waseda University),
Tatsuya Mori,(Waseda University / RIKEN AIP),
Jiexin Zhang,(University of Cambridge),
Ian Sheret,(Polymath Insight Limited),
Alastair R. Beresford,(University of Cambridge),
Mathias Lecuyer,(Columbia University),
Vaggelis Atlidakis,(Columbia University),
Roxana Geambasu,(Columbia University),
Daniel Hsu,(Columbia University),
Suman Jana,(Columbia University),
Xiang Ling,(Zhejiang University),
Shouling Ji,(Zhejiang University),
Jiaxu Zou,(Zhejiang University),
Jiannan Wang,(Zhejiang University),
Chunming Wu,(Zhejiang University),
Bo Li,(UC Berkeley),
Ting Wang,(Lehigh University),
Luca Melis,(University College London),
Congzheng Song,(Cornell University),
Emiliano De Cristofaro,(University College London),
Vitaly Shmatikov,(Cornell Tech),
Bolun Wang,(UC Santa Barbara),
Yuanshun Yao,(University of Chicago),
Shawn Shan,(University of Chicago),
Huiying Li,(University of Chicago),
Bimal Viswanath,(Virginia Tech),
Haitao Zheng,(University of Chicago),
Ben Y. Zhao,(University of Chicago),
Wenting Zheng,(UC Berkeley),
Raluca Ada Popa,(UC Berkeley),
Joseph E. Gonzalez,(UC Berkeley),
Ion Stoica,(UC Berkeley),
Milad Nasr,(University of Massachusetts Amherst),
Reza Shokri ,,
Amir Houmansadr,(University of Massachusetts Amherst),
Dae R. Jeong,(KAIST),
Kyungtae Kim,(Purdue University),
Basavesh Shivakumar,(Purdue University),
Byoungyoung Lee,"(Seoul National University, Purdue University)",
Insik Shin,(KAIST),
Wei You,(Purdue University),
Xueqiang Wang,(Indiana University Bloomington),
Shiqing Ma,(Purdue University),
Jianjun Huang,(Renmin University of China),
Xiangyu Zhang,(Purdue University),
XiaoFeng Wang,(Indiana University Bloomington),
Bin Liang,(Renmin University of China),
Stefan Nagy,(Virginia Tech),
Matthew Hicks,(Virginia Tech),
Dongdong She,(Columbia University),
Kexin Pei,(Columbia University),
Dave Epstein,(Columbia University),
Junfeng Yang,(Columbia University),
Baishakhi Ray,(Columbia University),
Suman Jana,(Columbia University),
Wen Xu,(Georgia Institute of Technology),
Hyungon Moon,"(Ulsan National Institute of Science, Technology)",
Sanidhya Kashyap,(Georgia Institute of Technology),
Po-Ning Tseng,(Georgia Institute of Technology),
Taesoo Kim,(Georgia Institute of Technology),
Giovanni Cherubin,(Royal Holloway University of London),
Kostas Chatzikokolakis,"(LIX, École Polytechnique)",
Catuscia Palamidessi,"(INRIA, École Polytechnique)",
Daniel Genkin,(University of Michigan),
Mihir Pattani,(University of Pennsylvania),
Roei Schuster,"(Tel Aviv University, Cornell Tech)",
Eran Tromer,"(Tel Aviv University, Columbia University)",
