Name,Organization,Location,Gender,Race
Sadia Afroz,(University of California),Berkeley,female,A
Frederico Araujo,(IBM T.J. Watson Research Center),,male,HL
Carol Fung,(Virginia Commonwealth University),,female,A
Kevin Hamlen,(The University of Texas at Dallas),,male,W_NL
Zhou Li,(RSA Labs),,male,A
Aravind Prakash,(Binghamton University),,male,A
Heng Yin,(University of California),Riverside,male,A
Mu Zhang,(Cornell University),,male,A
Kevin Hamlen,(The University of Texas at Dallas),,male,W_NL
Heng Yin,(University of California),Riverside,male,A
Vladimir Kolesnikov,(Bell Labs),,male,W_NL
Jesper Buus Nielsen,(Aarhus University),,male,A
Mike Rosulek and Ni Trieu,(Oregon State University),,,
Roberto Trifiletti,(Aarhus University),,male,HL
Linghan Zhang,(Florida State University),,male,A
Sheng Tan,(Florida State University),,female,A
Jie Yang,(Florida State University),,male,A
Hung Dang,(National University of Singapore),,male,A
Yue Huang,(National University of Singapore),,female,A
Ee-Chien Chang,(National University of Singapore),,female,A
Meng Luo,(Stony Brook University),,male,A
Oleksii Starov,(Stony Brook University),,male,W_NL
Nima Honarmand,(Stony Brook University),,male,A
Nick Nikiforakis,(Stony Brook University),,male,W_NL
Yujin Kwon,(KAIST),,female,A
Dohyun Kim,(KAIST),,male,A
and Yunmok Son,(KAIST),,male,A
Eugene Vasserman,(Kansas State University),,male,W_NL
Yongdae Kim,(KAIST),,female,A
Yinqian Zhang,(Ohio State University),,male,A
Xiao Wang,(University of Maryland),,female,A
Samuel Ranellucci,(University of Maryland/George Mason University),,male,W_NL
Jonathan Katz,(University of Maryland),,male,W_NL
Jian Liu,(Rutgers University),,male,A
Chen Wang,(Rutgers University),,male,A
and Yingying Chen,(Rutgers University),,male,A
Nitesh Saxena,(University of Alabama at Birmingham),,male,A
Dongyu Meng,(ShanghaiTech University),,male,A
Hao Chen,"(University of California, Davis)",,male,A
Yinzhi Cao,(Lehigh University),,female,A
Zhanhao Chen,(Lehigh University),,male,A
Song Li,(Lehigh University),,female,A
Shujiang Wu,(Lehigh University),,male,A
Changyu Dong,(Newcastle University),,male,A
Yilei Wang,(Newcastle University),,male,A
Amjad Aldweesh,(Newcastle University),,male,A
Patrick McCorry,(Newcastle University),,male,W_NL
Aad van Moorsel,(Newcastle University),,male,A
Xiao Wang,(University of Maryland),,female,A
Samuel Ranellucci,(University of Maryland/George Mason University),,male,W_NL
Jonathan Katz,(University of Maryland),,male,W_NL
Zhangkai Zhang,(Beihang University),,male,A
Xuhua Ding,(Singapore Management University),,female,A
Gene Tsudik,"(University of California, Irvine)",,male,W_NL
Jinhua Cui,(Singapore Management University),,female,A
Zhoujun Li,(Beihang University),,female,A
Guoming Zhang,(Zhejiang University),,male,A
Chen Yan,(Zhejiang University),,male,A
Xiaoyu Ji,(Zhejiang University),,female,A
Tianchen Zhang,(Zhejiang University),,male,A
Taimin Zhang,(Zhejiang University),,male,A
Wenyuan Xu,(Zhejiang University),,male,A
Peter Snyder,(University of Illinois at Chicago),,male,W_NL
Cynthia Taylor,(University of Illinois at Chicago),,female,B_NL
Chris Kanich,(University of Illinois at Chicago),,male,W_NL
Matteo Campanelli and Rosario Gennaro,(City College of New York),,,
Steven Goldfeder,(Princeton University),,male,W_NL
Luca Nizzardo,(IMDEA Software Institute and Universidad Politécnica de Madrid),,male,HL
Ruiyu Zhu and Yan Huang,(Indiana University),,,
Darion Cassel,(Carnegie Mellon University),,male,W_NL
Sarah Pearman,(Carnegie Mellon University),,female,W_NL
Jeremy Thomas,(Carnegie Mellon University),,male,B_NL
Pardis Emami Naeini,(Carnegie Mellon University),,male,A
Hana Habib,(Carnegie Mellon University),,female,A
Lujo Bauer,(Carnegie Mellon University),,male,W_NL
Nicolas Christin,(Carnegie Mellon University),,male,B_NL
and Lorrie Faith Cranor,(Carnegie Mellon University),,female,A
Serge Egelman,"(University of California, Berkeley)",,male,B_NL
Alain Forget,(Google),,male,W_NL
Yan Shoshitaishvili,(Arizona State University),,male,A
Michael Weissbacher,(Northeastern University),,male,W_NL
Lukas Dresel,"(University of California, Santa Barbara)",,male,W_NL
Christopher Salls,"(University of California, Santa Barbara)",,male,W_NL
Ruoyu Wang,"(University of California, Santa Barbara)",,female,A
Christopher Kruegel,"(University of California, Santa Barbara)",,male,W_NL
and Giovanni Vigna,"(University of California, Santa Barbara)",,male,HL
Martin Kucera,(ETH Zürich),,male,W_NL
Petar Tsankov,(ETH Zürich),,male,A
Timon Gehr,(ETH Zürich),,male,W_NL
Marco Guarnieri,(ETH Zürich),,male,HL
Martin Vechev,(ETH Zürich),,male,W_NL
Rami Khalil and Arthur Gervais,(ETH Zürich),,,
Qiang Tang,(New Jersey Institute of Technology),,male,A
Moti Yung,"(Snap, Inc./Columbia University)",,male,A
Yehuda Lindell and Ariel Nof,(Bar-Ilan University),,,
Alena Naiakshina,(University of Bonn),,female,HL
Anastasia Danilova,(University of Bonn),,female,HL
Christian Tiefenau,(University of Bonn),,male,W_NL
Marco Herzog,(University of Bonn),,male,HL
Sergej Dechand,(University of Bonn),,male,W_NL
Matthew Smith,(University of Bonn),,male,W_NL
Xiaojun Xu,(Shanghai Jiao Tong University),,male,A
Chang Liu,"(University of California, Berkeley)",,male,A
Qian Feng,(Samsung Research America),,male,A
Heng Yin,"(University of California, Riverside)",,male,A
Le Song,(Georgia Institute of Technology),,female,A
Dawn Song,"(University of California, Berkeley)",,female,A
Véronique Cortier,"(Loria, CNRS/Inria)",,female,B_NL
Niklas Grimm,(TU Wien),,male,W_NL
Joseph Lallemand,"(Loria, CNRS/Inria)",,male,W_NL
Matteo Maffei,(TU Wien),,male,HL
Giulio Malavolta,(Friedrich-Alexander University Erlangen Nuernberg),,male,HL
Pedro Moreno-Sanchez and Aniket Kate,(Purdue University),,,
Matteo Maffei,(TU Wien),,male,HL
Srivatsan Ravi,(University of Southern California),,male,A
Nishanth Chandran,(Microsoft Research India),,male,A
Juan Garay,(Texas A&M University),,male,HL
Payman Mohassel,(Visa Research),,male,A
Satyanarayana Vusirikala,(Microsoft Research India),,male,A
Yang Ji,(Georgia Institute of Technology),,male,A
Sangho Lee,(Georgia Institute of Technology),,male,A
Evan Downing,(Georgia Institute of Technology),,male,W_NL
Weiren Wang,(Georgia Institute of Technology),,male,A
Mattia Fazzini,(Georgia Institute of Technology),,male,W_NL
Taesoo Kim,(Georgia Institute of Technology),,female,A
Alessandro Orso,(Georgia Institute of Technology),,male,HL
Wenke Lee,(Georgia Institute of Technology),,female,A
Zhan Qin,(State University of New York at Buffalo),,male,A
Yin Yang,"(College of Science and Engineering, Hamad Bin Khalifa University)",,female,A
Ting Yu,"(Qatar Computing Research Institute, Hamad Bin Khalifa University)",,female,A
Xiaokui Xiao,(Nanyang Technological University),,female,A
