Name,Organization,Location,Gender,Race
Timon Gehr,(ETH Zürich),,male,W_NL
Matthew Mirman,(ETH Zürich),,male,W_NL
Dana Drachsler Cohen,(ETH Zürich),,female,W_NL
Petar Tsankov,(ETH Zürich),,male,A
Swarat Chaudhuri,(Rice University),,male,A
Martin Vechev,(ETH Zürich),,male,W_NL
Matthew Jagielski,(Northeastern University),,male,W_NL
Alina Oprea,(Northeastern University),,female,HL
Battista Biggio,"(University of Cagliari, Italy; Pluribus One, Italy)",,male,W_NL
Chang Liu,(UC Berkeley),,male,A
Cristina Nita-Rotaru,(Northeastern University),,female,A
Bo Li,(UC Berkeley),,male,A
Binghui Wang,"(ECE Department, Iowa State University)",,male,A
Neil Zhenqiang Gong,"(ECE Department, Iowa State University)",,male,A
Huichen Li,(Shanghai Jiao Tong University),,male,A
Xiaojun Xu,(Shanghai Jiao Tong University),,male,A
Chang Liu,"(University of California, Berkeley)",,male,A
Teng Ren,(TouchPal Inc.),,male,A
Kun Wu,(TouchPal Inc.),,male,A
Xuezhi Cao,(Shanghai Jiao Tong University),,male,A
Weinan Zhang,(Shanghai Jiao Tong University),,male,A
Yong Yu,(Shanghai Jiao Tong University),,male,A
Dawn Song,"(University of California, Berkeley)",,female,A
Amin Kharraz,(University of Illinois Urbana-Champaign),,male,A
William Robertson,(Northeastern University),,male,W_NL
Engin Kirda,(Northeastern University),,male,A
Giridhari Venkatadri,(Northeastern University),,male,A
Athanasios Andreou,(EURECOM),,male,A
Yabing Liu,(Northeastern University),,male,A
Alan Mislove,(Northeastern University),,male,W_NL
Krishna P. Gummadi,(MPI-SWS),,male,A
Patrick Loiseau,"(Univ. Grenoble Alpes, CNRS, Inria, Grenoble INP, LIG, MPI-SWS)",,male,B_NL
Oana Goga,"(Univ. Grenoble Alpes, CNRS, Inria, Grenoble INP, LIG)",,female,A
Debajyoti Das,(Purdue University),,male,A
Sebastian Meiser,(University College London),,male,W_NL
Esfandiar Mohammadi,(ETH Zurich),,male,A
Aniket Kate,(Purdue University),,male,A
Tianhao Wang,(Purdue University),,male,A
Ninghui Li,(Purdue University),,male,A
Somesh Jha,(University of Wisconsin-Madison),,male,A
Yimin Chen,(Arizona State University),,male,A
Tao Li,(Arizona State University),,male,A
Rui Zhang,(University of Delaware),,male,A
Yanchao Zhang,(Arizona State University),,male,A
Terri Hedgpeth,(Arizona State University),,female,W_NL
Emanuele Cozzi,(Eurecom),,male,W_NL
Mariano Graziano,"(Cisco Systems, Inc.)",,male,HL
Yanick Fratantonio,(Eurecom),,male,HL
Davide Balzarotti,(Eurecom),,male,W_NL
Guoxing Chen,(The Ohio State University),,male,A
Wenhao Wang,"(Indiana University Bloomington &amp; SKLOIS, Institute of Information Engineering, Chinese Academy of Sciences)",,male,A
Tianyu Chen,(Indiana University Bloomington),,male,A
Sanchuan Chen,(The Ohio State University),,male,A
Yinqian Zhang,(The Ohio State University),,male,A
XiaoFeng Wang,(Indiana University Bloomington),,male,A
Ten-Hwang Lai,(The Ohio State University),,female,A
Dongdai Lin,"(SKLOIS, Institute of Information Engineering, Chinese Academy of Sciences)",,female,A
Pietro Frigo,(Vrije Universiteit Amsterdam),,male,HL
Kaveh Razavi,(Vrije Universiteit Amsterdam),,male,A
Cristiano Giuffrida,(Vrije Universiteit Amsterdam),,male,HL
Herbert Bos,(Vrije Universiteit Amsterdam),,male,W_NL
John Monaco,(U.S. Army Research Laboratory),,male,W_NL
Mark Zhao,(Cornell University),,male,A
G. Edward Suh,(Cornell University),,male,A
Daniel Gruss,"(Graz University of Technology, Graz, Austria)",,male,W_NL
Moritz Lipp,"(Graz University of Technology, Graz, Austria)",,male,W_NL
Michael Schwarz,"(Graz University of Technology, Graz, Austria)",,male,W_NL
Daniel Genkin,"(University of Pennsylvania, University of Maryland, USA)",,male,W_NL
Jonas Juffinger,"(Graz University of Technology, Graz, Austria)",,male,W_NL
Sioli O'Connell,"(University of Adelaide, Adelaide, Australia)",,female,A
Wolfgang Schoechl,"(Graz University of Technology, Graz, Austria)",,male,A
Yuval Yarom,"(University of Adelaide, Data61, Adelaide, Australia)",,male,A
Christian Priebe,(Imperial College London),,male,W_NL
Kapil Vaswani,(Microsoft Research),,male,A
Manuel Costa,(Microsoft Research),,male,HL
Pratyush Mishra,(UC Berkeley),,male,A
Rishabh Poddar,(UC Berkeley),,male,A
Jerry Chen,(UC Berkeley),,male,A
