Name,Organization,Location,Gender,Race
Somesh Jha,(University of Wisconsin),Madison  US,male,A
Helen Wang,(Microsoft Research),USA,female,A
Carl Landwehr,(George Washington University),USA,male,W_NL
Giovanni Vigna,(Univeristy of California),Santa Barbara  USA,male,HL
George Danezis,(University College London),UK,male,W_NL
Trent Jaeger,(Pennsylvania State University),US,male,W_NL
Stefan Savage,(University of California),San Diego  US,male,W_NL
David Basin,(ETH Zurich),,male,W_NL
Christopher Kruegel,"(University of California, Santa Barbara)",", USA",male,W_NL
Andrew Myers,(Cornell University),", USA",male,W_NL
Shai Halevi,(IBM Research),", USA",male,A
Shweta Agrawal,(Indian Institute of Technology),", India",female,A
Gail-Joon Ahn,(Arizona State University),", USA",male,A
Martin Albrecht,"(Royal Holloway, University of London)",", UK",male,W_NL
Manos Antonakakis,(Georgia Institute of Technology),", US",male,W_NL
Frederik Armknecht,(University of Mannheim),", Germany",male,W_NL
Erman Ayday,(Bilkent University),", Turkey",male,W_NL
Michael Backes,"(CISPA, Saarland University & MPI-SWS)",", Germany",male,W_NL
Davide Balzarotti,(Eurecom),", Austria",male,W_NL
Karthikeyan Bhargavan,(INRIA),", France",male,A
Alex Biryukov,(University of Luxembourg),", Luxembourg",male,A
Marina Blanton,(University of Notre Dame),", France",female,W_NL
Alexandra Boldyreva,(Georgia Institute of Technology),", USA",female,HL
Herbert Bos,(Vrije Universiteit / VU University Amsterdam),", Netherlands",male,W_NL
Elie Bursztein,(Google),", USA",male,W_NL
Kevin Butler,(University of Florida),", USA",male,B_NL
Juan Caballero,(IMDEA Software Institute),", Spain",male,HL
Yinzhi Cao,(Lehigh University),", USA",female,A
Srdjan Capkun,(ETH Zurich),", Switzerland",male,A
David Cash,(Rutgers University),", USA",male,W_NL
Lorenzo Cavallaro,"(Royal Holloway, University of London)",", UK",male,HL
Yan Chen,(Northwestern University),", USA",male,A
Alessandro Chiesa,(UC Berkeley),", USA",male,HL
Yung Ryn,(Elisha),"Choe, Sandia National Laboratories, USA",male,A
Omar Chowdhury,(Purdue University),", USA",male,A
Véronique Cortier,(CNRS),", France",female,B_NL
Dana Dachman-Soled,(University of Maryland),", USA",female,W_NL
George Danezis,(University College London),", UK",male,W_NL
Anupam Datta,(Carnegie Mellon University),", USA",male,A
Alexander De Luca,(Google),", USA",male,HL
Rinku Dewri,(University of Denver),", USA",male,A
Adam Doupé,(Arizona State University),", USA",male,W_NL
Tudor Dumitras,(University of Maryland),", USA",male,HL
Stefan Dziembowski,(University of Warsaw),", Poland",male,W_NL
Manuel Egele,(Boston University),", USA",male,HL
William Enck,(North Carolina State University),", USA",male,W_NL
