Name,Organization,Location,Gender,Race
Wei Dai,(Microsoft Research),,male,A
Miran Kim,"(University of Texas, Health Science Center at Houston)",,male,A
Yongsoo Song,(Microsoft Research),,female,A
Matthew Luckie,(University of Waikato),,male,W_NL
Robert Beverly,(Naval Postgraduate School),,male,W_NL
Ryan Koga,(CAIDA / UC San Diego),,male,A
Ken Keys,(CAIDA / UC San Diego),,male,B_NL
Joshua Kroll,(UC Berkeley School of Information),,male,W_NL
kc claffy,(CAIDA / UC San Diego),,male,W_NL
Yue Cao,"(University of California, Riverside)",,male,A
Zhongjie Wang,"(University of California, Riverside)",,female,A
Zhiyun Qian,"(University of California, Riverside)",,female,A
Chengyu Song,"(University of California, Riverside)",,female,A
Srikanth Krishnamurthy,"(University of California, Riverside)",,male,A
Paul Yu,(Army Research Laboratory),,male,A
Kenneth Co,(Imperial College London),,male,A
Luis Muñoz-González,(Imperial College London),,male,HL
Sixte de Maupeou,(Imperial College London),,male,A
Emil C. Lupu,(Imperial College London),,male,W_NL
Hao Chen,(Microsoft Research),,male,A
Ilaria Chillotti,(KU Leuven),,female,HL
Ling Ren,(VMware Research),,female,A
Sazzadur Rahaman,(Virginia Tech),,male,A
Gang Wang,(University of Illinois at Urbana-Champaign),,male,A
Daphne Yao,(Virginia Tech),,female,A
Peng Chen,(ByteDance AI lab),,male,A
Jianzhong Liu,(ShanghaiTech University),,male,A
Hao Chen,"(University of California, Davis)",,male,A
Zhuotao Liu,(UIUC & Google),,male,A
Yangxi Xiang,(Beijing University of Posts and Telecommunications),,female,A
Jian Shi,(Case Western Reserve University),,male,A
Peng Gao,"(University of California, Berkeley)",,male,A
Haoyu Wang,(Beijing University of Posts and Telecommunications),,male,A
Xusheng Xiao,(Case Western Reserve University),,male,A
Bihan Wen,(Nanyang Technological University),,female,A
Yih-Chun Hu,(UIUC),,male,A
Jeffrey Champion,(Northeastern University),,male,W_NL
Abhi Shelat,(Northeastern University),,male,A
Jonathan Ullman,(Northeastern University),,male,W_NL
Poulami Das,"(Technische Universität Darmstadt, Germany)",,male,A
Sebastian Faust,"(Technische Universität Darmstadt, Germany)",,male,W_NL
Julian Loss,"(Ruhr-Universität Bochum, Germany)",,male,W_NL
Haipei Sun,(Qatar Computing Research Institute),,female,A
Xiaokui Xiao,(National University of Singapore),,female,A
Issa Khalil,"(Qatar Computing Research Institute (QCRI)), HBKU)",,male,A
Yin Yang,"(College of Science and Engineering, Hamad Bin Khalifa University)",,female,A
Zhan Qin,(ZheJiang University),,male,A
Hui,(Wendy) Wang (Stevens Institute of Technology),,,
Ting Yu,(Qatar Computing Research Institute),,female,A
Mingi Cho,(Yonsei University),,male,A
Seoyoung Kim,(Yonsei University),,female,A
Taekyoung Kwon,(Yonsei University),,female,A
Muhammed F. Esgin,"(Monash University and Data61, CSIRO)",,male,A
Raymond K. Zhao,(Monash University),,male,A
Ron Steinfeld,(Monash University),,male,W_NL
Joseph K. Liu,(Monash University),,male,A
Dongxi Liu,"(Data61, CSIRO)",,female,A
Ryan Wails,(U.S. Naval Research Laboratory),,male,W_NL
Aaron Johnson,(U.S. Naval Research Laboratory),,male,B_NL
Daniel Starin,(Perspecta Labs),,male,W_NL
Arkady Yerukhimovich,(George Washington University),,male,W_NL
S. Dov Gordon,(George Mason University),,male,B_NL
Syed Rafiul Hussain,(Purdue University),,male,A
Mitziu Echeverria,(The University of Iowa),,female,HL
Imtiaz Karim,(Purdue University),,male,A
Omar Chowdhury,(The University of Iowa),,male,A
Elisa Bertino,(Purdue University),,female,HL
Hafiz Asif,(Rutgers University),,male,A
Periklis Papakonstantinou,(Rutgers University),,male,A
Jaideep Vaidya,(Rutgers University),,male,A
Jingxuan He,(ETH Zurich),,male,A
Mislav Balunovic,(ETH Zurich),,male,W_NL
Nodar Ambroladze,(ETH Zurich),,male,A
Petar Tsankov,(ETH Zurich),,male,A
Martin Vechev,(ETH Zurich),,male,W_NL
Vivek Bagaria,(Stanford University),,male,A
Sreeram Kannan,(University of Washington Seattle),,male,A
David Tse,(Stanford University),,male,A
