Name,Organization,Location,Gender,Race
Peter Schwabe,(Radboud University),,male,W_NL
Damien Stehle,(Universite de Lyon),,male,W_NL
Benjamin Harsha,(Purdue University),,male,W_NL
Jeremiah Blocki,(Purdue University),,male,W_NL
Luke Valenta,(University of Pennsylvania),,male,W_NL
Nick Sullivan,(Cloudflare),,male,W_NL
Antonio Sanso,(Adobe),,male,HL
Nadia Heninger,(University of Pennsylvania),,female,W_NL
Nicolas Papernot,(Penn State),,male,HL
Patrick McDaniel,(Penn State),,male,W_NL
Arunesh Sinha,(University of Michigan),,male,A
Michael P. Wellman,(University of Michigan),,male,W_NL
Lujo Bauer,(CMU),,male,W_NL
Paul Rösler,"(Horst Görtz Institute for IT Security, Chair for Network, Data Security, Ruhr-University Bochum)",,male,W_NL
Christian Mainka,"(Horst Görtz Institute for IT Security, Chair for Network, Data Security, Ruhr-University Bochum)",,male,W_NL
Jörg Schwenk,"(Horst Görtz Institute for IT Security, Chair for Network, Data Security, Ruhr-University Bochum)",,male,W_NL
Véronique Cortier,"(Loria &amp; CNRS, France)",,female,B_NL
David Galindo,"(University of Birmingham, UK)",,male,HL
Mathieu Turuani,"(Loria &amp; INRIA, France)",,male,A
Marjan Skrobot,(University of Luxembourg),,male,W_NL
Jean Lancrenon,(itrust consulting),,male,W_NL
Ziyun Zhu,"(University of Maryland, College Park)",,male,A
Tudor Dumitras,"(University of Maryland, College Park)",,male,HL
Ke Xu,(Singapore Management University),,male,A
Yingjiu Li,(Singapore Management University),,female,A
Robert H. Deng,(Singapore Management University),,male,A
Kai Chen,(Chinese Academy of Sciences),,male,A
Erwin Quiring,(TU Braunschweig),,male,A
Daniel Arp,(TU Braunschweig),,male,W_NL
Konrad Rieck,(TU Braunschweig),,male,W_NL
Lujo Bauer,(CMU),,male,W_NL
Sunny Consolvo,(Google),,female,A
Paul Rösler,"(Horst Görtz Institute for IT Security, Chair for Network, Data Security, Ruhr-University Bochum)",,male,W_NL
Christian Mainka,"(Horst Görtz Institute for IT Security, Chair for Network, Data Security, Ruhr-University Bochum)",,male,W_NL
Jörg Schwenk,"(Horst Görtz Institute for IT Security, Chair for Network, Data Security, Ruhr-University Bochum)",,male,W_NL
Laurent Simon,(Cambridge University),,male,W_NL
David Chisnall,(Cambridge University),,male,W_NL
Ross Anderson,(Cambridge University),,male,B_NL
Ziyun Zhu,"(University of Maryland, College Park)",,male,A
Tudor Dumitras,"(University of Maryland, College Park)",,male,HL
Kaan Onarlioglu,(Akamai Technologies),,male,A
William Robertson,(Northeastern University),,male,W_NL
Engin Kirda,(Northeastern University),,male,A
Christian Vaas,(University of Oxford),,male,W_NL
Mika Juuti,(Aalto University),,female,A
N. Asokan,(Aalto University),,male,A
Ivan Martinovic,(University of Oxford),,male,HL
Chiara Bodei,(Università di Pisa),,female,W_NL
Pierpaolo Degano,(Università di Pisa),,male,HL
Riccardo Focardi,(Università Ca Foscari Venezia),,male,HL
Letterio Galletta,(Università di Pisa),,male,HL
Mauro Tempesta,(Università Ca Foscari Venezia),,male,HL
Lorenzo Veronese,(Università Ca Foscari Venezia),,male,HL
Wei Bai,"(University of Maryland, College Park)",,male,A
Ciara Lynton,"(University of Maryland, College Park)",,female,B_NL
Michelle L. Mazurek,"(University of Maryland, College Park)",,female,W_NL
Charalampos Papamanthou,"(University of Maryland, College Park)",,male,A
David Derler,"(IAIK, Graz University of Technology)",,male,W_NL
Sebastian Ramacher,"(IAIK, Graz University of Technology)",,male,HL
Daniel Slamanig,(AIT Austrian Institute of Technology),,male,W_NL
Patrick Speicher,"(CISPA, Saarland University)",,male,W_NL
Marcel Steinmetz,"(CISPA, Saarland University)",,male,W_NL
Robert Künnemann,"(CISPA, Saarland University)",,male,W_NL
Milivoj Simeonovski,"(CISPA, Saarland University)",,male,A
Giancarlo Pellegrino,"(CISPA, Saarland University)",,male,HL
Jörg Hoffmann,"(CISPA, Saarland University)",,male,W_NL
Michael Backes,"(CISPA, Saarland University)",,male,W_NL
Micah Morton,(UNC at Chapel Hill),,male,W_NL
Jan Werner,(UNC at Chapel Hill),,male,W_NL
Panagiotis Kintis,(Georgia Tech),,male,W_NL
Kevin Snow,(Zeropoint Dynamics),,male,W_NL
